task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
hopper-medium-replay-v2,0,adm,1,5,0.006426630198435836,0.08350257286741454,0.0026405832074520726,1000
hopper-medium-replay-v2,0,adm,2,2,0.0016435484633248417,0.009689315256104721,0.0003064030517670862,1000
hopper-medium-replay-v2,0,adm,3,2,0.00536570730300527,0.03202420150772609,0.0010126941701261276,1000
hopper-medium-replay-v2,0,adm,4,5,0.006157811954425929,0.05869681223585646,0.0018561561805654687,1000
hopper-medium-replay-v2,0,adm,5,3,0.005005090379519114,0.04095881710945275,0.0012952315233214482,1000
hopper-medium-replay-v2,0,adm,6,4,0.005602468755983262,0.03682972927385707,0.001164658301127676,1000
hopper-medium-replay-v2,0,adm,7,1,0.009755670760076277,0.08886737757891133,0.0028102332283553963,1000
hopper-medium-replay-v2,0,adm,8,2,0.016667072258190925,0.22652120827267602,0.00716322956475032,1000
hopper-medium-replay-v2,0,adm,9,2,0.014573670802939092,0.1428792364072492,0.004518238173925607,1000
hopper-medium-replay-v2,0,adm,10,1,0.021421532523749273,0.17416065202793643,0.005507443391883022,1000
hopper-medium-replay-v2,0,adm,11,2,0.022509311405693906,0.1948544056175485,0.006161837338697616,1000
hopper-medium-replay-v2,0,adm,12,3,0.020202856833718613,0.13259060206670728,0.004192882988638238,1000
hopper-medium-replay-v2,0,adm,13,5,0.018239464554748393,0.141287998898057,0.004467918825652202,1000
hopper-medium-replay-v2,0,adm,14,2,0.01737976534866761,0.10081787350654928,0.003188141091354423,1000
hopper-medium-replay-v2,0,adm,15,1,0.0235067076085667,0.24702097820521224,0.007811489209712828,1000
hopper-medium-replay-v2,0,adm,16,4,0.01782816525449461,0.15954672006526696,0.005045310286155318,1000
hopper-medium-replay-v2,0,adm,17,3,0.01420047255794545,0.0762170312726851,0.0024101941531796682,1000
hopper-medium-replay-v2,0,adm,18,5,0.01256694108477567,0.0700050139992419,0.0022137529186957734,1000
hopper-medium-replay-v2,0,adm,19,5,0.022030044035586734,0.15656576955804805,0.004951044354204859,1000
hopper-medium-replay-v2,0,adm,20,2,0.019078704212813286,0.10457259717702891,0.0033068758791870547,1000
hopper-medium-replay-v2,0,adm,21,3,0.017243961211527617,0.11021025344064765,0.0034851542237685535,1000
hopper-medium-replay-v2,0,adm,22,2,0.027522565164744706,0.18842306316998245,0.005958460433229308,1000
hopper-medium-replay-v2,0,adm,23,1,0.03046262615121228,0.17700386703944784,0.0055973537450226,1000
hopper-medium-replay-v2,0,adm,24,1,0.03327344017218353,0.18026343928885954,0.005700430470082795,1000
hopper-medium-replay-v2,0,adm,25,5,0.022676573452431934,0.11362749317921439,0.003593216832615646,1000
hopper-medium-replay-v2,0,adm,26,2,0.0345534853808272,0.19662172265334824,0.006217724810505061,1000
hopper-medium-replay-v2,0,adm,27,3,0.04767654322612951,0.31670461593160704,0.010015079318327276,1000
hopper-medium-replay-v2,0,adm,28,5,0.029693040712894775,0.1277742959881805,0.004040578017471654,1000
hopper-medium-replay-v2,0,adm,29,1,0.03355103898074096,0.21537663919405928,0.00681080734645519,1000
hopper-medium-replay-v2,0,adm,30,5,0.029516842033254803,0.16883796256151706,0.005339125171966306,1000
hopper-medium-replay-v2,0,adm,31,5,0.05055586526978132,0.25607250422827316,0.00809772359504441,1000
hopper-medium-replay-v2,0,adm,32,5,0.040671595732876646,0.21443171862975288,0.0067809263345437925,1000
hopper-medium-replay-v2,0,adm,33,3,0.038640304418444446,0.23329435404328716,0.0073774152403449965,1000
hopper-medium-replay-v2,0,adm,34,4,0.041150655440941424,0.2255110738123252,0.007131286308372985,1000
hopper-medium-replay-v2,0,adm,35,1,0.041394548794326705,0.18683224562461698,0.005908154365378177,1000
hopper-medium-replay-v2,0,adm,36,2,0.051001538965423115,0.33237572556032396,0.010510643317216687,1000
hopper-medium-replay-v2,0,adm,37,2,0.04349094443290568,0.2151321913195399,0.006803077225928508,1000
hopper-medium-replay-v2,0,adm,38,2,0.062143507210382344,0.3296610815860397,0.010424798737264788,1000
hopper-medium-replay-v2,0,adm,39,3,0.05562471040280068,0.29278064492252504,0.009258536927681915,1000
hopper-medium-replay-v2,0,adm,40,2,0.04944098800853433,0.20753567787868174,0.0065628543784365615,1000
hopper-medium-replay-v2,0,adm,41,4,0.05091178815807514,0.28572851194803084,0.009035528902064119,1000
hopper-medium-replay-v2,0,adm,42,3,0.05102339608585463,0.26667362158157026,0.008432960360835958,1000
hopper-medium-replay-v2,0,adm,43,5,0.052202275425619366,0.2446144518137993,0.00773538816325112,1000
hopper-medium-replay-v2,0,adm,44,4,0.05659190897726738,0.23983626100810249,0.007584288502842351,1000
hopper-medium-replay-v2,0,adm,45,2,0.060230622129561935,0.26102374209762025,0.008254295484088571,1000
hopper-medium-replay-v2,0,adm,46,1,0.0785028725565943,0.39655543298202434,0.012540183867374545,1000
hopper-medium-replay-v2,0,adm,47,4,0.055621421758287354,0.25604821972648056,0.008096955651669341,1000
hopper-medium-replay-v2,0,adm,48,4,0.059925027321902975,0.2654420407164414,0.00839401435427108,1000
hopper-medium-replay-v2,0,adm,49,2,0.060437494501813974,0.30210749637319834,0.009553477867503648,1000
hopper-medium-replay-v2,0,adm,50,2,0.05873049860916855,0.2520849810650267,0.007971627040859028,1000
hopper-medium-replay-v2,0,adm,51,1,0.06154497155466164,0.2533961597717762,0.008013090152187452,1000
hopper-medium-replay-v2,0,adm,52,2,0.07480785460560416,0.365879470758548,0.011570124766939862,1000
hopper-medium-replay-v2,0,adm,53,3,0.08344273748348993,0.4897818306546516,0.01548826141435577,1000
hopper-medium-replay-v2,0,adm,54,2,0.07502004789789819,0.3407085878090921,0.010774151558562085,1000
hopper-medium-replay-v2,0,adm,55,1,0.10075349653512179,0.48301960724987764,0.015274421134295927,1000
hopper-medium-replay-v2,0,adm,56,1,0.12041351632372295,0.49378682853123057,0.015614910567497045,1000
hopper-medium-replay-v2,0,adm,57,5,0.1111949253367376,0.45690819437302754,0.014448705758136966,1000
hopper-medium-replay-v2,0,adm,58,1,0.11943946426175578,0.520627601566819,0.016463690337017955,1000
hopper-medium-replay-v2,0,adm,59,3,0.1336767355931773,0.6960097307307705,0.02200976022749725,1000
hopper-medium-replay-v2,0,adm,60,2,0.12295530048822557,0.7382470840540007,0.023345422615884143,1000
hopper-medium-replay-v2,0,adm,61,4,0.13017692886683618,0.7038168634208964,0.022256643440456803,1000
hopper-medium-replay-v2,0,adm,62,1,0.1392126063705406,0.720278554171414,0.022777207809546424,1000
hopper-medium-replay-v2,0,adm,63,3,0.1495208226473653,0.7515744891200887,0.023766872168969194,1000
hopper-medium-replay-v2,0,adm,64,1,0.14860665448118687,0.728517129963237,0.023037734451327285,1000
hopper-medium-replay-v2,0,adm,65,1,0.1578869660006268,0.7323325836050903,0.02315838968947769,1000
hopper-medium-replay-v2,0,adm,66,2,0.16834162972807526,0.7865079414737235,0.02487156492867375,1000
hopper-medium-replay-v2,0,adm,67,2,0.17000038776536763,0.7275586078523153,0.023007423320745832,1000
hopper-medium-replay-v2,0,adm,68,5,0.16533846605628105,0.7457501374510763,0.02358268999729037,1000
hopper-medium-replay-v2,0,adm,69,1,0.1555921952280293,0.6653119633156496,0.02103901158635843,1000
hopper-medium-replay-v2,0,adm,70,5,0.15818402682637464,0.6658798015941005,0.02105696820938377,1000
hopper-medium-replay-v2,0,adm,71,2,0.13923760290843018,0.6376443980655856,0.020164086351343147,1000
hopper-medium-replay-v2,0,adm,72,3,0.12721629298229964,0.5165749386109465,0.016335533881722483,1000
hopper-medium-replay-v2,0,adm,73,4,0.14652060754494237,0.617981013201116,0.019542275524541096,1000
hopper-medium-replay-v2,0,adm,74,5,0.18228742604378106,0.818695015705257,0.02588940958655935,1000
hopper-medium-replay-v2,0,adm,75,4,0.19473261245111403,0.8544452686920725,0.027019931850215093,1000
hopper-medium-replay-v2,0,adm,76,3,0.2060244953884331,0.8778326767431692,0.027759506630307344,1000
hopper-medium-replay-v2,0,adm,77,4,0.21839848883468857,1.0207668105154803,0.032279480811344324,1000
hopper-medium-replay-v2,0,adm,78,5,0.21668669768929585,0.9152486415988208,0.028942703328274068,1000
hopper-medium-replay-v2,0,adm,79,1,0.21676390430891568,0.9896135866843887,0.03129432937371147,1000
hopper-medium-replay-v2,0,adm,80,5,0.20546791490597757,0.9477810719273184,0.02997146910486199,1000
hopper-medium-replay-v2,0,adm,81,5,0.21138818864706513,1.0050162738301365,0.031781405108387076,1000
hopper-medium-replay-v2,0,adm,82,4,0.1984187767843528,0.8834296846565858,0.027936499561191173,1000
hopper-medium-replay-v2,0,adm,83,5,0.21511680708085235,0.9069051194562967,0.028678857991489826,1000
hopper-medium-replay-v2,0,adm,84,3,0.22567607974332266,0.8734703174494811,0.02762155671690677,1000
hopper-medium-replay-v2,0,adm,85,3,0.24362121463571496,0.9719236615267822,0.030734924822351968,1000
hopper-medium-replay-v2,0,adm,86,3,0.25495248279492433,1.0366295763944064,0.03278110551301842,1000
hopper-medium-replay-v2,0,adm,87,3,0.23767019741061332,1.055811504632508,0.033387691344481434,1000
