task,seed,model,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows
walker2d-medium-replay-v2,2,adm,1,4,0.3717347948923344,0.8830763971755785,0.02792532763010311,1000
walker2d-medium-replay-v2,2,adm,2,2,0.2465513360169598,0.5987496120901775,0.018934125223472514,1000
walker2d-medium-replay-v2,2,adm,3,2,0.5455818373027768,1.2765766031698091,0.04036889673697522,1000
walker2d-medium-replay-v2,2,adm,4,1,0.7601152671280815,1.8189807875572601,0.05752122308767808,1000
walker2d-medium-replay-v2,2,adm,5,4,0.6195983538184744,1.425612629210447,0.045081829694061035,1000
walker2d-medium-replay-v2,2,adm,6,2,0.8803355007581792,2.006153669538754,0.06344014932047219,1000
walker2d-medium-replay-v2,2,adm,7,2,0.8174306111286016,1.880121195167166,0.05945465253886202,1000
walker2d-medium-replay-v2,2,adm,8,1,1.0091951903657925,2.1480702557782276,0.06792794582319665,1000
walker2d-medium-replay-v2,2,adm,9,1,1.2387153843697523,2.7505038222812104,0.0869785679140761,1000
walker2d-medium-replay-v2,2,adm,10,5,0.9629620411664069,2.076034263738608,0.0656499677396471,1000
walker2d-medium-replay-v2,2,adm,11,4,1.0191964312228412,2.3309617038810315,0.07371148122891007,1000
walker2d-medium-replay-v2,2,adm,12,4,1.1600746171845322,2.6753954202772157,0.08460343169659432,1000
walker2d-medium-replay-v2,2,adm,13,4,1.2830242934947886,3.099365491291468,0.09801054253807803,1000
walker2d-medium-replay-v2,2,adm,14,5,1.418238315602377,3.3305607034875786,0.10532157708473451,1000
walker2d-medium-replay-v2,2,adm,15,4,1.2776686913478512,2.788488194585457,0.08817973923380848,1000
walker2d-medium-replay-v2,2,adm,16,1,1.3942091714205471,2.767294248050104,0.08750952779721298,1000
walker2d-medium-replay-v2,2,adm,17,5,1.5877882813943793,3.1950344370156563,0.10103586023643264,1000
walker2d-medium-replay-v2,2,adm,18,2,1.611115702680712,3.346596061349175,0.10582865962411983,1000
walker2d-medium-replay-v2,2,adm,19,2,1.8836909365695438,4.078066994601732,0.1289598015369906,1000
walker2d-medium-replay-v2,2,adm,20,4,1.591156433707124,3.240037437909702,0.10245898008011042,1000
walker2d-medium-replay-v2,2,adm,21,2,1.7872124077123375,3.441202276335334,0.108820370825758,1000
walker2d-medium-replay-v2,2,adm,22,1,1.9431127062788194,3.7049602484061555,0.11716113025346675,1000
walker2d-medium-replay-v2,2,adm,23,5,1.80848805116368,3.6326332081991066,0.11487394841873824,1000
walker2d-medium-replay-v2,2,adm,24,3,1.99767951666908,3.5995160318434056,0.11382669134916334,1000
walker2d-medium-replay-v2,2,adm,25,2,2.073183511558578,3.8354429680841347,0.12128735614822361,1000
walker2d-medium-replay-v2,2,adm,26,4,2.2342443121477364,4.033560028703936,0.12755236769718584,1000
walker2d-medium-replay-v2,2,adm,27,5,2.2211098899130004,3.9658652766238447,0.12541167167505074,1000
walker2d-medium-replay-v2,2,adm,28,5,2.1006291164735313,3.5474161799535495,0.11217914937186961,1000
walker2d-medium-replay-v2,2,adm,29,3,2.543190701233703,4.369386632997324,0.13817213738165773,1000
