task,model,rollout_length,mean,std,sem,n_seeds
hopper-medium-replay-v2,adm,1,0.0038393773063149397,0.0025295956963649604,0.001460462756237229,3
hopper-medium-replay-v2,adm,2,0.002266015985308472,0.0005591687819587098,0.00032283624678629627,3
hopper-medium-replay-v2,adm,3,0.00628988530143481,0.0030290055297381604,0.001748797157971192,3
hopper-medium-replay-v2,adm,4,0.006326094608941765,0.0033839847538459276,0.001953744508566536,3
hopper-medium-replay-v2,adm,5,0.007513386849655304,0.002693533461855491,0.0015551122692735325,3
hopper-medium-replay-v2,adm,6,0.012545772477639971,0.006851711306235033,0.003955837367064399,3
hopper-medium-replay-v2,adm,7,0.011339518056816824,0.0014249010093851863,0.0008226669813371068,3
hopper-medium-replay-v2,adm,8,0.020948506243697318,0.003989782728867003,0.002303502132519484,3
hopper-medium-replay-v2,adm,9,0.018833684231869055,0.0038478217216021417,0.0022215409067606858,3
hopper-medium-replay-v2,adm,10,0.01785526365438368,0.004302803571422618,0.0024842248002309316,3
hopper-medium-replay-v2,adm,11,0.01958753219853629,0.003970987031759123,0.0022926504317346426,3
hopper-medium-replay-v2,adm,12,0.01746831818209466,0.0031757216750846434,0.0018335037639814482,3
hopper-medium-replay-v2,adm,13,0.018446020576198374,0.0053761006711679805,0.0031038931696893615,3
hopper-medium-replay-v2,adm,14,0.019173766012339083,0.004192932457076482,0.0024207906827870256,3
hopper-medium-replay-v2,adm,15,0.019158041746631268,0.0037678563500896617,0.002175372877992107,3
hopper-medium-replay-v2,adm,16,0.01763287845164484,0.0013838250170788893,0.0007989517461218352,3
hopper-medium-replay-v2,adm,17,0.014725829308920435,0.0033009532598999134,0.0019058062531855879,3
hopper-medium-replay-v2,adm,18,0.015670364531415234,0.00374422331357362,0.002161728337997802,3
hopper-medium-replay-v2,adm,19,0.02062765300627895,0.0014555542186473027,0.0008403646199561157,3
hopper-medium-replay-v2,adm,20,0.02390010002450509,0.008620996489601943,0.004977334643954501,3
hopper-medium-replay-v2,adm,21,0.019644480719442,0.002368376819899396,0.001367382994511386,3
hopper-medium-replay-v2,adm,22,0.02522817295271616,0.003165801258462311,0.0018277762087740713,3
hopper-medium-replay-v2,adm,23,0.03171844893306613,0.0033214137213234203,0.0019176191060961934,3
hopper-medium-replay-v2,adm,24,0.028846480576724468,0.003835765775560594,0.0022145804030682626,3
hopper-medium-replay-v2,adm,25,0.029617319478475,0.006290408492706062,0.003631769036576553,3
hopper-medium-replay-v2,adm,26,0.033748905055651444,0.0049572119105096655,0.0028620476309627746,3
hopper-medium-replay-v2,adm,27,0.04389212000881615,0.01124323085376752,0.006491282359983784,3
hopper-medium-replay-v2,adm,28,0.030636775148058223,0.006114704002459921,0.0035303260018351174,3
hopper-medium-replay-v2,adm,29,0.034492694532449984,0.005171561128969815,0.0029858022099413274,3
hopper-medium-replay-v2,adm,30,0.034800547566563415,0.00849639735038178,0.0049053972973849445,3
hopper-medium-replay-v2,adm,31,0.039962988940220025,0.01132198717456729,0.0065367523429979155,3
hopper-medium-replay-v2,adm,32,0.03790826308469889,0.0026980432816049557,0.0015577160149198826,3
hopper-medium-replay-v2,adm,33,0.04467954217070794,0.005243951330367533,0.0030275967122049916,3
hopper-medium-replay-v2,adm,34,0.05291891453563402,0.012170981794756758,0.007026919615504849,3
hopper-medium-replay-v2,adm,35,0.04605292884634637,0.013709732197342277,0.007915317574653243,3
hopper-medium-replay-v2,adm,36,0.05184427182759078,0.006440104893864039,0.003718196294081829,3
hopper-medium-replay-v2,adm,37,0.04172553371753699,0.007558950839826919,0.0043641623021652195,3
hopper-medium-replay-v2,adm,38,0.05624376010781441,0.0052699181446618035,0.0030425886594277855,3
hopper-medium-replay-v2,adm,39,0.05677677288110774,0.008975391977987114,0.005181944974573268,3
hopper-medium-replay-v2,adm,40,0.05937417321702054,0.024505019214637516,0.014147979440067923,3
hopper-medium-replay-v2,adm,41,0.056101298963445456,0.007899351668635564,0.004560692812310262,3
hopper-medium-replay-v2,adm,42,0.05372910411370443,0.005516108871895424,0.0031847269420681064,3
hopper-medium-replay-v2,adm,43,0.048114275532114725,0.007827367249321295,0.004519132588441711,3
hopper-medium-replay-v2,adm,44,0.05374754320575351,0.005722103342436149,0.003303657905086368,3
hopper-medium-replay-v2,adm,45,0.05488193780656835,0.010897234070154594,0.006291521023826117,3
hopper-medium-replay-v2,adm,46,0.0669865303543446,0.015835307632338178,0.009142519124230983,3
hopper-medium-replay-v2,adm,47,0.05903749100813264,0.004590195145758554,0.0026501504030366145,3
hopper-medium-replay-v2,adm,48,0.07265735577171567,0.019180603935916,0.011073926845620698,3
hopper-medium-replay-v2,adm,49,0.06910191839484085,0.0075508602944619595,0.004359491223620869,3
hopper-medium-replay-v2,adm,50,0.06302934421953461,0.008729875748698126,0.005040196113502849,3
hopper-medium-replay-v2,adm,51,0.06859932330254502,0.021018297047485552,0.0121349194582733,3
hopper-medium-replay-v2,adm,52,0.08011054045160115,0.00868437499535552,0.005013926241312165,3
hopper-medium-replay-v2,adm,53,0.08670752132957825,0.011168870798097273,0.0064483505618256115,3
hopper-medium-replay-v2,adm,54,0.09142645920944131,0.031792881343275785,0.018355628601854107,3
hopper-medium-replay-v2,adm,55,0.10982755619843365,0.015248643964232339,0.008803808697526304,3
hopper-medium-replay-v2,adm,56,0.1325992422866834,0.03693060157316258,0.021321892759600235,3
hopper-medium-replay-v2,adm,57,0.12318796715155138,0.03198255391704826,0.018465136113379535,3
hopper-medium-replay-v2,adm,58,0.12447081089560376,0.019934408998878595,0.011509136401638656,3
hopper-medium-replay-v2,adm,59,0.12758608411483285,0.031043647226385883,0.01792305808278167,3
hopper-medium-replay-v2,adm,60,0.11799301829274307,0.02634337145149813,0.01520935259888475,3
hopper-medium-replay-v2,adm,61,0.12418963605704847,0.021025899382824825,0.0121393086686279,3
hopper-medium-replay-v2,adm,62,0.12742744731799674,0.01332557799512305,0.007693526042591647,3
hopper-medium-replay-v2,adm,63,0.12030460908987362,0.03259963953338393,0.018821410660083977,3
hopper-medium-replay-v2,adm,64,0.12559774737697516,0.03596874948654886,0.0207665671984732,3
hopper-medium-replay-v2,adm,65,0.13081778986018278,0.036430826349636236,0.021033347399762994,3
hopper-medium-replay-v2,adm,66,0.13293547409024742,0.03554487574702173,0.0205218435808548,3
hopper-medium-replay-v2,adm,67,0.14740728103510425,0.022982737601206293,0.013269089740770987,3
hopper-medium-replay-v2,adm,68,0.15998782427258992,0.015745122513868056,0.00909045072180536,3
hopper-medium-replay-v2,adm,69,0.16786259074814625,0.02050883082844878,0.0118407789995694,3
hopper-medium-replay-v2,adm,70,0.16097184799793682,0.013522160915083384,0.007807023244348828,3
hopper-medium-replay-v2,adm,71,0.15002713193291603,0.0184310970047917,0.010641198817176593,3
hopper-medium-replay-v2,adm,72,0.15846448126540327,0.03635809440482718,0.0209913555918488,3
hopper-medium-replay-v2,adm,73,0.17148942300027584,0.028401740186366424,0.016397752342052468,3
hopper-medium-replay-v2,adm,74,0.1985217300382134,0.016234677486143052,0.00937309541683145,3
hopper-medium-replay-v2,adm,75,0.20804532580991672,0.01518862408342179,0.008769156203183604,3
hopper-medium-replay-v2,adm,76,0.20882096658482652,0.02484220614299775,0.014342654403923927,3
hopper-medium-replay-v2,adm,77,0.214057367653865,0.03449844203147624,0.01991768479349551,3
hopper-medium-replay-v2,adm,78,0.22151009450270878,0.01725249830414967,0.009960734540094374,3
hopper-medium-replay-v2,adm,79,0.19479632043290387,0.0392656472066347,0.022670031984655423,3
hopper-medium-replay-v2,adm,80,0.19644748274557358,0.0419514484094139,0.024220680032069813,3
hopper-medium-replay-v2,adm,81,0.21352543651364522,0.03421321511090103,0.01975300895412128,3
hopper-medium-replay-v2,adm,82,0.21508328191453777,0.04672708271750189,0.026977893785395626,3
hopper-medium-replay-v2,adm,83,0.22326944874982982,0.028624771932871513,0.016526519780935015,3
hopper-medium-replay-v2,adm,84,0.21846698251649066,0.024084956129402948,0.01390545590473112,3
hopper-medium-replay-v2,adm,85,0.235758057386568,0.03144238042242359,0.018153266800848878,3
hopper-medium-replay-v2,adm,86,0.25426873419950863,0.05782928678640785,0.03338775429317664,3
hopper-medium-replay-v2,adm,87,0.2531926423898574,0.05495497316537174,0.03172826855033604,3
hopper-medium-replay-v2,adm,88,0.26255487432795005,0.052310390108633135,0.03020141781063368,3
hopper-medium-replay-v2,adm,89,0.25870657281626125,0.050305933155535415,0.029044144049183693,3
hopper-medium-replay-v2,adm,90,0.24652211505531382,0.032221431555468985,0.018603052182225122,3
hopper-medium-replay-v2,adm,91,0.26268504601233866,0.02318651283137452,0.013386739424762793,3
hopper-medium-replay-v2,adm,92,0.25226020285097756,0.03568682132593348,0.020603795899049773,3
hopper-medium-replay-v2,adm,93,0.27883068156206825,0.049827832374594434,0.028768112434607647,3
hopper-medium-replay-v2,adm,94,0.30053804264487827,0.047525493355554844,0.02743885638219936,3
hopper-medium-replay-v2,adm,95,0.27918162360431636,0.03424556060787979,0.019771683635509043,3
hopper-medium-replay-v2,adm,96,0.2860603054044237,0.027904737677489497,0.016110807809764455,3
hopper-medium-replay-v2,adm,97,0.3144211548608196,0.010032412352949183,0.005792215972596538,3
hopper-medium-replay-v2,adm,98,0.327029845499768,0.03060604892747324,0.017670410587107534,3
hopper-medium-replay-v2,adm,99,0.3528502782667104,0.07801141404987012,0.045039910901555874,3
hopper-medium-replay-v2,adm,100,0.3643118092581142,0.04396048869839785,0.025380599983727502,3
hopper-medium-replay-v2,ensemble,1,0.0029993316556409127,0.000302630620634033,0.00017472387028808249,3
hopper-medium-replay-v2,ensemble,2,0.00511049542417921,0.0015708793376868382,0.0009069476084779171,3
hopper-medium-replay-v2,ensemble,3,0.00933147276030538,0.0016496777134611073,0.0009524418719428966,3
hopper-medium-replay-v2,ensemble,4,0.012005920688290811,0.002016348195837957,0.0011641391736470607,3
hopper-medium-replay-v2,ensemble,5,0.014796966375679907,0.0004118282758011544,0.00023776916589369595,3
hopper-medium-replay-v2,ensemble,6,0.02087575060927029,0.0008566072528501214,0.0004945624280228034,3
hopper-medium-replay-v2,ensemble,7,0.019275022052489637,0.0006706757216392356,0.0003872148084273592,3
hopper-medium-replay-v2,ensemble,8,0.030519894605315262,0.0027364942827482835,0.0015799157107805933,3
hopper-medium-replay-v2,ensemble,9,0.043769414644934945,0.00547293268662152,0.0031597991598776363,3
hopper-medium-replay-v2,ensemble,10,0.050211895400367,0.0031249375820117157,0.0018041835541752424,3
hopper-medium-replay-v2,ensemble,11,0.04664889550441748,0.00774181149517394,0.004469736950754014,3
hopper-medium-replay-v2,ensemble,12,0.048251308341142864,0.008660524403326967,0.005000156095584148,3
hopper-medium-replay-v2,ensemble,13,0.048140251475181695,0.000824353996256103,0.00047594100164600485,3
hopper-medium-replay-v2,ensemble,14,0.04779404839673546,0.0021530291314816987,0.001243051948634065,3
hopper-medium-replay-v2,ensemble,15,0.055211861188003176,0.00627697097389083,0.003624010881471338,3
hopper-medium-replay-v2,ensemble,16,0.062039853948385314,0.008965580447856013,0.005176280285010915,3
hopper-medium-replay-v2,ensemble,17,0.05538150718776236,0.01068603067344927,0.006169582685884534,3
hopper-medium-replay-v2,ensemble,18,0.051778452761259884,0.005134982220705679,0.0029646833674083664,3
hopper-medium-replay-v2,ensemble,19,0.06607649106612702,0.0029956604976333354,0.0017295453947093345,3
hopper-medium-replay-v2,ensemble,20,0.07887658832780574,0.0028930360675882842,0.0016702951523973923,3
hopper-medium-replay-v2,ensemble,21,0.08092147696872432,0.0018411276036067476,0.0010629755175548064,3
hopper-medium-replay-v2,ensemble,22,0.07841714437033505,0.0026598445441581332,0.0015356619635722559,3
hopper-medium-replay-v2,ensemble,23,0.07774792012740062,0.0071504451262020255,0.004128311418438387,3
hopper-medium-replay-v2,ensemble,24,0.08427316355937453,0.007759044717825199,0.0044796865564907225,3
hopper-medium-replay-v2,ensemble,25,0.0864732237105188,0.010986142331900877,0.006342852232678515,3
hopper-medium-replay-v2,ensemble,26,0.07912033582533985,0.004812803928065347,0.0027786736434254164,3
hopper-medium-replay-v2,ensemble,27,0.09160419049414507,0.004979888150029202,0.002875139763953587,3
hopper-medium-replay-v2,ensemble,28,0.08696140298966705,0.005362237910145981,0.0030958895008815985,3
hopper-medium-replay-v2,ensemble,29,0.08856756843961865,0.012657103255679276,0.007307581971827319,3
hopper-medium-replay-v2,ensemble,30,0.10680703078905159,0.011710505677162544,0.006761063605056436,3
hopper-medium-replay-v2,ensemble,31,0.11853567662046777,0.00884412374317004,0.005106157223865583,3
hopper-medium-replay-v2,ensemble,32,0.11087447600087837,0.0027248342412574595,0.001573183782687104,3
hopper-medium-replay-v2,ensemble,33,0.1163529271563944,0.00546004382670536,0.003152357773135494,3
hopper-medium-replay-v2,ensemble,34,0.1304749522846498,0.01651831615615857,0.009536854279317495,3
hopper-medium-replay-v2,ensemble,35,0.1332821293377653,0.01412832934196007,0.008156994748780335,3
hopper-medium-replay-v2,ensemble,36,0.12293861696066717,0.01586435192550026,0.009159287854706533,3
hopper-medium-replay-v2,ensemble,37,0.11425935232544694,0.015166760707965951,0.008756533377478781,3
hopper-medium-replay-v2,ensemble,38,0.12259614638804067,0.037119009762383054,0.021430670278364206,3
hopper-medium-replay-v2,ensemble,39,0.12767896696020528,0.033074560675575265,0.01909560650937199,3
hopper-medium-replay-v2,ensemble,40,0.13897064389815758,0.01431387153955572,0.008264117586508218,3
hopper-medium-replay-v2,ensemble,41,0.13658839697949973,0.0043384582084792555,0.0025048100145334397,3
hopper-medium-replay-v2,ensemble,42,0.13914369886371403,0.011869862315812284,0.006853068203278017,3
hopper-medium-replay-v2,ensemble,43,0.13585107730320461,0.009335552017957518,0.005389883470601527,3
hopper-medium-replay-v2,ensemble,44,0.14430226501715565,0.009752812944763515,0.005630789179015282,3
hopper-medium-replay-v2,ensemble,45,0.1526353508768512,0.013846792242676507,0.007994449228722104,3
hopper-medium-replay-v2,ensemble,46,0.15954580192088494,0.01807186127121884,0.01043379396969577,3
hopper-medium-replay-v2,ensemble,47,0.14740440425198303,0.020603412782716327,0.011895385916326249,3
hopper-medium-replay-v2,ensemble,48,0.14443801768698034,0.005129779610658561,0.002961679639097174,3
hopper-medium-replay-v2,ensemble,49,0.17742342379552647,0.021091037010585855,0.012176915895550105,3
hopper-medium-replay-v2,ensemble,50,0.20884844463273491,0.01337388534200507,0.007721416302317818,3
hopper-medium-replay-v2,ensemble,51,0.21579728487485325,0.007798185187501404,0.004502284317194488,3
hopper-medium-replay-v2,ensemble,52,0.20641946078075654,0.003238880657397752,0.0018699686194216644,3
hopper-medium-replay-v2,ensemble,53,0.19598838545694566,0.008596786690438984,0.00496335710989074,3
hopper-medium-replay-v2,ensemble,54,0.19829265623598158,0.024226572443166828,0.013987218121604339,3
hopper-medium-replay-v2,ensemble,55,0.24146780280199395,0.03126734976224903,0.018052212802080657,3
hopper-medium-replay-v2,ensemble,56,0.2548577765171129,0.02960989427761003,0.01709528043185451,3
hopper-medium-replay-v2,ensemble,57,0.25415418137844675,0.021040071138412463,0.012147490735531312,3
hopper-medium-replay-v2,ensemble,58,0.26962439907969227,0.027346064163893936,0.015788257506300942,3
hopper-medium-replay-v2,ensemble,59,0.276667883696657,0.03290410127990694,0.018997191731396985,3
hopper-medium-replay-v2,ensemble,60,0.2624077733592507,0.021689920131275037,0.012522681226493127,3
hopper-medium-replay-v2,ensemble,61,0.2772289945975643,0.030950831066515395,0.017869470647895295,3
hopper-medium-replay-v2,ensemble,62,0.2918620880106369,0.045592880855328,0.026323062034954155,3
hopper-medium-replay-v2,ensemble,63,0.28388904196179876,0.02987470354027437,0.017248168130937675,3
hopper-medium-replay-v2,ensemble,64,0.3033936019464816,0.02818205943860813,0.01627091960319844,3
hopper-medium-replay-v2,ensemble,65,0.3262996159037698,0.026173685646331442,0.015111384453594104,3
hopper-medium-replay-v2,ensemble,66,0.3384099919793253,0.04016842299933652,0.023191249831589694,3
hopper-medium-replay-v2,ensemble,67,0.3429332203823147,0.029756150646006622,0.01717972158551898,3
hopper-medium-replay-v2,ensemble,68,0.35560444582734635,0.016695835033029478,0.009639344850665154,3
hopper-medium-replay-v2,ensemble,69,0.35501041273818695,0.00937371683252999,0.005411917936568516,3
hopper-medium-replay-v2,ensemble,70,0.38553255326753405,0.03740791253001147,0.021597468369024098,3
hopper-medium-replay-v2,ensemble,71,0.40747239071974795,0.04288065739206386,0.02475715908833619,3
hopper-medium-replay-v2,ensemble,72,0.3900816028844316,0.03681651430945212,0.02125602444718589,3
hopper-medium-replay-v2,ensemble,73,0.38647031104623736,0.03668797205830435,0.021181810543883486,3
hopper-medium-replay-v2,ensemble,74,0.3912851987753343,0.02979801585446663,0.017203892474893047,3
hopper-medium-replay-v2,ensemble,75,0.3995281607702618,0.03516722424131645,0.020303806382375986,3
hopper-medium-replay-v2,ensemble,76,0.413446056833683,0.014071400965380449,0.008124127135237563,3
hopper-medium-replay-v2,ensemble,77,0.42246131004584786,0.009119727138448322,0.005265276918319075,3
