task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
hopper-medium-replay-v2,2,adm,0,1,4,0.004074618869332793,0.02898238572961378,0.00020493641484374127,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,2,2,0.0022468255858374224,0.011205703528964453,7.923628953296791e-05,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,3,2,0.008250144686960925,0.07557526375864179,0.0005343978149369754,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,4,1,0.011393052522979124,0.08260313041231074,0.0005840923366178166,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,5,4,0.011022128193057716,0.09834520635413596,0.0006954056231019988,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,6,2,0.01739420456365083,0.1474950359641416,0.0010429474012159823,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,7,2,0.013314024960180902,0.11585611420169557,0.0008192264399394201,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,8,1,0.015866161095115176,0.11688332840005672,0.0008264899411933428,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,9,1,0.017588637533483845,0.10914887133040363,0.0007717990707658634,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,10,5,0.014629536233518755,0.11411197007794278,0.0008068934785666975,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,11,4,0.01717477600365695,0.12582415589243282,0.0008897111386861254,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,12,4,0.021233006996129705,0.14769618096643183,0.0010443697111671944,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,13,4,0.02680238699274196,0.19412776334841028,0.0013726905788023823,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,14,5,0.02907636027174467,0.21864401031456995,0.0015460466235925384,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,15,4,0.020913902635615857,0.142529102718398,0.001007832950486132,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,16,1,0.022649396326634548,0.1412397532859531,0.0009987158732161238,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,17,5,0.02415342092930099,0.1554080037153108,0.0010989005327776042,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,18,2,0.02369842161614921,0.13799581021156582,0.0009757777317593001,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,19,2,0.023299457763937555,0.13989837456840043,0.000989230893342916,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,20,4,0.026550423346730384,0.16193308193723147,0.001145039803362532,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,21,2,0.027600771199269587,0.15889935165362445,0.001123588090804237,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,22,1,0.030711231203817083,0.15591242339669556,0.0011024673185503155,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,23,5,0.03280401365867843,0.21534922730784406,0.0015227489895265978,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,24,3,0.03596812080235781,0.20356412015483508,0.0014394156976775703,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,25,2,0.035259344956364666,0.20843712052743932,0.0014738730137595006,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,26,4,0.04277341496536792,0.2341475996867537,0.0016556735553705667,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,27,5,0.04359274266381099,0.23814955434522686,0.0016839716481406412,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,28,5,0.034439028518784415,0.1781909402302788,0.001260000221828369,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,29,3,0.046748803376453006,0.26504596982284545,0.0018741580258789905,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,30,1,0.050869393485409725,0.27386483114681914,0.0019365167923242462,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,31,3,0.04035988589876834,0.2202507325456746,0.0015574078654435111,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,32,4,0.04156015093734932,0.22411624695224594,0.00158474117994012,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,33,1,0.04487538679505398,0.22051174684555327,0.00155925351525782,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,34,3,0.04967381879133713,0.2516089706767321,0.0017791440937288444,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,35,1,0.05407532773808933,0.2692329591112141,0.0019037645110645996,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,36,2,0.05813600876192413,0.3086700519299346,0.002182626868688605,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,37,2,0.059248897221092486,0.2768439169851366,0.001957582110304357,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,38,5,0.056436326480289255,0.271994666757783,0.0019232927331100356,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,39,1,0.06087309113237831,0.2917686581943339,0.0020631159674691342,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,40,5,0.06709564971579272,0.32435535938988913,0.0022935387413879032,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,41,2,0.06841441072139046,0.33043250691918474,0.0023365106636702633,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,42,4,0.06636977236051367,0.33401276990828865,0.002361826946050529,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,43,2,0.07211830700525552,0.3323444137512855,0.0023500298865300165,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,44,5,0.07280186156580869,0.35723692168158727,0.0025260464981125795,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,45,5,0.07568954632576014,0.35366884747061345,0.002500816403409015,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,46,1,0.07753173974979029,0.3456535279283217,0.0024441395353917,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,47,1,0.07853055216643559,0.331287220351542,0.0023425544003101736,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,48,5,0.08701289028866807,0.39707721373193416,0.002807759904845107,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,49,3,0.0898688442757918,0.4267703681502623,0.0030177222132852987,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,50,3,0.09426833706545223,0.43581494617090205,0.0030816770377989503,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,51,4,0.09605994994998032,0.44010750443505364,0.0031120300083711497,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,52,3,0.0980854354524149,0.446524483101711,0.003157404899670378,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,53,1,0.10617466469372602,0.4717771391942197,0.0033359681433302248,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,54,1,0.11598899722118401,0.5298147447365309,0.0037463559877582066,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,55,5,0.12141669251561066,0.5663501961410861,0.004004700642176932,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,56,2,0.12438533667109938,0.5671204634166036,0.004010147254315377,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,57,1,0.12980719122158182,0.5879656587328006,0.004157545043947787,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,58,5,0.12977022963521925,0.6179233611104433,0.004369377988947782,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,59,3,0.1461147807276372,0.695508648110433,0.004917988814527754,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,60,3,0.15166357753780052,0.6949553084364994,0.004914076112170374,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,61,1,0.15112088999067694,0.6676980363630235,0.004721338092972359,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,62,3,0.1586438848652951,0.7160114487340851,0.005062965508070756,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,63,3,0.170147289868445,0.7478507272467938,0.00528810320551499,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,64,5,0.16211735782473047,0.7182667806189573,0.005078913112766949,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,65,2,0.17033954042829286,0.7443173520841373,0.005263118470135085,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,66,5,0.1768653348066617,0.7844213708052274,0.005546696706040236,20000,20000,20,,
hopper-medium-replay-v2,2,adm,0,67,2,0.1785346792345923,0.77300689655616,0.0054659841845882875,20000,20000,20,,
