task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
walker2d-medium-replay-v2,2,adm,0,1,4,0.3396890367212294,0.8252455860609669,0.005835367500479763,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,2,2,0.25814045547370623,0.7227783842498018,0.00511081496798091,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,3,2,0.5427115455974773,1.3929837446567142,0.009849882519293928,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,4,1,0.7137511855356864,1.7207582224515683,0.012167598078780135,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,5,4,0.6145187916780063,1.481925234974692,0.010478793828620726,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,6,2,0.8273650134487117,1.9513091236713023,0.013797839135391572,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,7,2,0.821530520745558,1.9632639613587217,0.01388237260335916,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,8,1,0.9709920389258409,2.2330850195183185,0.01579029560267497,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,9,1,1.0929500378304289,2.4382871539984623,0.017241293810723604,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,10,5,0.9401275404280708,2.2193050589968624,0.015692856567382923,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,11,4,1.0245820539372579,2.3736565850757656,0.01678428667515177,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,12,4,1.111321406994917,2.4548247894016457,0.01735823255210742,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,13,4,1.2056366312579025,2.609507578083476,0.0184520050402051,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,14,5,1.272885745974479,2.7575392347589323,0.01949874692286004,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,15,4,1.2190984741029192,2.6239476629168648,0.018554111859271083,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,16,1,1.3833908502393584,2.8528223762096014,0.02017250047738529,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,17,5,1.3799922182092637,2.9132557088835815,0.02059982867082003,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,18,2,1.5085666681487164,3.081380289530224,0.021788648981413885,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,19,2,1.5913684372858332,3.243069667240416,0.022931965535660983,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,20,4,1.563577907342009,3.0930654411819667,0.02187127548113529,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,21,2,1.70190663265553,3.3781651299956232,0.0238872347138784,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,22,1,1.8359567803262464,3.5397852955066775,0.025030061863971987,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,23,5,1.7271027656067555,3.3226410941355518,0.023494620491123382,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,24,3,1.8833367213458139,3.5250797105910157,0.024926077675820196,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,25,2,1.9406869471416397,3.677109847120919,0.026001093080670307,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,26,4,2.0223088684922783,3.7543796900800226,0.026547473380046326,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,27,5,2.0512030123840552,3.7366402548540973,0.02642203663061961,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,28,5,2.064609140165721,3.795741809652121,0.026839947732383122,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,29,3,2.2555772924102238,4.082624241106819,0.02886851285923214,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,30,1,2.421057402553787,4.23988712290538,0.029980529360719148,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,31,3,2.3367971802058674,4.26418008543208,0.03015230654609655,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,32,4,2.3544157424577157,4.1961750339697765,0.029671438215657202,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,33,1,2.540197293432834,4.3316058869056215,0.030629078960585344,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,34,3,2.570903420634521,4.454743765766518,0.03149979525222002,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,35,1,2.721509937039018,4.601305373174083,0.03253614231681491,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,36,2,2.7761191213611403,4.735735682644724,0.033486708151051876,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,37,2,2.8950055273895505,4.838761925728933,0.03421521370230206,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,38,5,2.8206335583142588,4.764314078313441,0.0336887879247797,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,39,1,3.053697851246314,5.0315125098790565,0.03557816615360426,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,40,5,2.992951917051399,4.930812875557015,0.03486611221068305,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,41,2,3.212403034480462,5.206663557855656,0.0368166710911661,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,42,4,3.1163179778702994,4.9839506016046355,0.035241852674934106,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,43,2,3.375146659121983,5.375979374717113,0.038013914713814864,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,44,5,3.2458176078493164,5.069227334407403,0.03584485023535681,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,45,5,3.3112688455845243,5.149847589281781,0.036414921524583414,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,46,1,3.520332323459311,5.315537783686772,0.03758652812498228,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,47,1,3.6950272117703347,5.579982205386805,0.03945643256329276,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,48,5,3.589530744676075,5.42721116170291,0.03837617815371448,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,49,3,3.689898691019408,5.56227743158747,0.039331240907163924,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,50,3,3.830925731642798,5.788265950422574,0.040929221048549985,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,51,4,3.8224607625791416,5.702329417880773,0.040321557999430324,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,52,3,3.939002770055554,5.8142438061972275,0.04111291222833942,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,53,1,4.11416115381869,5.953367227259954,0.042096663372892675,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,54,1,4.325555699789858,6.27373981341853,0.044362039654682675,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,55,5,4.087387339423056,5.832321479352671,0.0412407406811023,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,56,2,4.378075204497244,6.189406385928289,0.04376571227009215,20000,20000,20,,
walker2d-medium-replay-v2,2,adm,0,57,1,4.568254506234924,6.4316881143606,0.04547890280141299,20000,20000,20,,
