task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
hopper-medium-replay-v2,1,adm,-1,1,,0.0028902114865474856,0.023997258881655537,3.7942997833368264e-05,20000,400000,20,0.0009393776020278557,0.00021005121746750293
hopper-medium-replay-v2,1,adm,-1,2,,0.003489859529767265,0.029733612243058826,4.701296887616697e-05,20000,400000,20,0.0015137305300300362,0.00033848043647639474
hopper-medium-replay-v2,1,adm,-1,3,,0.004362974199378717,0.04043681846464501,6.393622383951556e-05,20000,400000,20,0.0018726330624116935,0.0004187334824466153
hopper-medium-replay-v2,1,adm,-1,4,,0.005439534274118612,0.05042019066597665,7.97213212822241e-05,20000,400000,20,0.0017279960250197106,0.00038639165767935
hopper-medium-replay-v2,1,adm,-1,5,,0.00784983190724718,0.07730774772372544,0.0001222342817923349,20000,400000,20,0.0018234023999455673,0.0004077251716614547
hopper-medium-replay-v2,1,adm,-1,6,,0.00905015860695201,0.08360501879824438,0.00013219114161182278,20000,400000,20,0.0020708983183533704,0.00046306694143281364
hopper-medium-replay-v2,1,adm,-1,7,,0.01092575759275884,0.10530234024627681,0.0001664976190621254,20000,400000,20,0.0018435126195374774,0.0004122219534664506
hopper-medium-replay-v2,1,adm,-1,8,,0.012020008309222391,0.11320984378275845,0.00017900047995268454,20000,400000,20,0.0016173681262342126,0.000361654507490116
hopper-medium-replay-v2,1,adm,-1,9,,0.012900610348004975,0.11346396454516246,0.00017940228015765212,20000,400000,20,0.001831491115231237,0.00040953386338439464
hopper-medium-replay-v2,1,adm,-1,10,,0.013583343574882051,0.12433929313750632,0.00019659768448493183,20000,400000,20,0.0021909553318888372,0.0004899125057769053
hopper-medium-replay-v2,1,adm,-1,11,,0.01457194002549374,0.12978747716120376,0.00020521201979824418,20000,400000,20,0.0024919380717306886,0.0005572142924109567
hopper-medium-replay-v2,1,adm,-1,12,,0.015553397947099038,0.13589896228342263,0.00021487512623446624,20000,400000,20,0.0027664047875529695,0.0006185869158249304
hopper-medium-replay-v2,1,adm,-1,13,,0.01680948275518691,0.14324355457614746,0.00022648794629963055,20000,400000,20,0.0028611292767586035,0.0006397679555247046
hopper-medium-replay-v2,1,adm,-1,14,,0.01729536603750907,0.14215251917148042,0.00022476286785631488,20000,400000,20,0.0023536484621204334,0.0005262917956439128
hopper-medium-replay-v2,1,adm,-1,15,,0.01762594138399747,0.1415914452895006,0.0002238757321549705,20000,400000,20,0.0027487197431693335,0.0006146324196822393
hopper-medium-replay-v2,1,adm,-1,16,,0.01872332785752047,0.13936408010333518,0.00022035395857034664,20000,400000,20,0.002916859054597621,0.0006522295126866051
