task,seed,model,repeat,rollout_length,backtrack_k,error_mean,error_std,error_sem,n_windows,n_samples,rollout_repeats,repeat_mean_std,repeat_mean_sem
walker2d-medium-replay-v2,1,adm,-1,1,,0.3142352094670347,0.8091700455920386,0.0012794101792265662,20000,400000,20,0.058530296522024905,0.013087772176646719
walker2d-medium-replay-v2,1,adm,-1,2,,0.36942477661575424,0.968549851085059,0.001531411778422846,20000,400000,20,0.10300983972562487,0.023033700397785548
walker2d-medium-replay-v2,1,adm,-1,3,,0.41209970180242433,1.098788798559032,0.0017373376354632402,20000,400000,20,0.1181043899773883,0.026408944443058507
walker2d-medium-replay-v2,1,adm,-1,4,,0.4665662435460411,1.2020847942293518,0.0019006629452097909,20000,400000,20,0.09881982206378062,0.022096783965904702
walker2d-medium-replay-v2,1,adm,-1,5,,0.5810212530394026,1.4400138262305087,0.0022768617765111638,20000,400000,20,0.10208139922341865,0.02282609479018583
walker2d-medium-replay-v2,1,adm,-1,6,,0.6330776449199383,1.5660839867243084,0.0024761962025828563,20000,400000,20,0.111084576881425,0.02483926651586679
walker2d-medium-replay-v2,1,adm,-1,7,,0.7275794287911107,1.7699135723981225,0.002798479075211696,20000,400000,20,0.1241310137032269,0.027756538475637325
walker2d-medium-replay-v2,1,adm,-1,8,,0.7774567314521104,1.8749152444614845,0.0029645012961348437,20000,400000,20,0.08473284220425677,0.018946839509548122
walker2d-medium-replay-v2,1,adm,-1,9,,0.8661028792150988,2.0371307075334064,0.0032209864636379474,20000,400000,20,0.07626075943579579,0.017052424211419788
walker2d-medium-replay-v2,1,adm,-1,10,,0.9299885683402963,2.1727213589345187,0.0034353741075646553,20000,400000,20,0.09338150550640317,0.02088073941535884
walker2d-medium-replay-v2,1,adm,-1,11,,1.0091015217944868,2.329676088307961,0.0036835413247423604,20000,400000,20,0.10206998500024225,0.022823542492292556
walker2d-medium-replay-v2,1,adm,-1,12,,1.0737154680355636,2.4525386885214737,0.0038778041527050555,20000,400000,20,0.10217529719047737,0.022847091013915067
walker2d-medium-replay-v2,1,adm,-1,13,,1.1370063400936476,2.587098942473422,0.0040905625952144704,20000,400000,20,0.10780871957535941,0.024106762553771588
walker2d-medium-replay-v2,1,adm,-1,14,,1.1976183955212016,2.685154791496935,0.004245602505622419,20000,400000,20,0.10581103213790513,0.023660066062977075
walker2d-medium-replay-v2,1,adm,-1,15,,1.2407529351584548,2.720854407879565,0.004302048555304106,20000,400000,20,0.1045489556750309,0.023377857186598152
walker2d-medium-replay-v2,1,adm,-1,16,,1.3268510456685854,2.8663051305276923,0.004532026340746865,20000,400000,20,0.10101650506386915,0.022587977217226315
walker2d-medium-replay-v2,1,adm,-1,17,,1.3844210112854634,2.9583075772071283,0.004677494981654472,20000,400000,20,0.13576156849668553,0.030357209589058274
walker2d-medium-replay-v2,1,adm,-1,18,,1.4171257942872477,2.9934314543161227,0.0047330307076146085,20000,400000,20,0.1142892340174215,0.025555849635933586
walker2d-medium-replay-v2,1,adm,-1,19,,1.4863959674267124,3.0896070267883564,0.0048850976397560334,20000,400000,20,0.1047051054132702,0.023412773329535338
walker2d-medium-replay-v2,1,adm,-1,20,,1.5468781602029877,3.164992103179452,0.005004291911246857,20000,400000,20,0.07643714403386019,0.017091865006565385
walker2d-medium-replay-v2,1,adm,-1,21,,1.617970281077049,3.259128425988298,0.005153134506561264,20000,400000,20,0.10872794975582921,0.024312308670821577
walker2d-medium-replay-v2,1,adm,-1,22,,1.6812636179521607,3.322200685429588,0.005252860505065031,20000,400000,20,0.11056083621308409,0.024722154542167644
walker2d-medium-replay-v2,1,adm,-1,23,,1.7381644719387024,3.3905282775488312,0.005360895914130921,20000,400000,20,0.11657633847278083,0.026067261739316193
walker2d-medium-replay-v2,1,adm,-1,24,,1.7849059937521359,3.4566964629142456,0.005465517001328387,20000,400000,20,0.09600249733156946,0.021466811004313146
walker2d-medium-replay-v2,1,adm,-1,25,,1.8624233500250056,3.5761033524398096,0.005654315870936829,20000,400000,20,0.11608002038110365,0.02595628164017088
walker2d-medium-replay-v2,1,adm,-1,26,,1.947610465496006,3.687855592259253,0.005831011676664231,20000,400000,20,0.10117595273177792,0.022623630799656097
walker2d-medium-replay-v2,1,adm,-1,27,,1.9966722027648922,3.7139747702243935,0.005872309723154794,20000,400000,20,0.08427218657453237,0.01884383377931995
walker2d-medium-replay-v2,1,adm,-1,28,,2.0713801546595585,3.8135617732663056,0.006029770600636074,20000,400000,20,0.11679051587313254,0.026115153261959255
walker2d-medium-replay-v2,1,adm,-1,29,,2.1514700522017107,3.9197443701193935,0.006197660027599666,20000,400000,20,0.11032993613174341,0.024670523714378844
walker2d-medium-replay-v2,1,adm,-1,30,,2.217103232726214,4.001427956688393,0.006326813118104455,20000,400000,20,0.11927249169201862,0.026670139926913253
walker2d-medium-replay-v2,1,adm,-1,31,,2.29759201247501,4.086173725157579,0.006460807943316409,20000,400000,20,0.11038961274019303,0.024683867809694844
walker2d-medium-replay-v2,1,adm,-1,32,,2.370889882877275,4.208139514612915,0.006653652788966113,20000,400000,20,0.11555125105491708,0.025838045224393886
walker2d-medium-replay-v2,1,adm,-1,33,,2.464446141381627,4.2916004342530165,0.006785616089803615,20000,400000,20,0.12366916184013385,0.027653265259496226
walker2d-medium-replay-v2,1,adm,-1,34,,2.555763885173798,4.402402205593142,0.006960809072911596,20000,400000,20,0.12704144934381775,0.028407331669287255
walker2d-medium-replay-v2,1,adm,-1,35,,2.636271142801708,4.505762309819108,0.00712423574718482,20000,400000,20,0.12212152211411188,0.0273072024962898
walker2d-medium-replay-v2,1,adm,-1,36,,2.7342312462678344,4.623696544356444,0.007310706144808058,20000,400000,20,0.13971073904834896,0.031240270969884253
walker2d-medium-replay-v2,1,adm,-1,37,,2.7816525999935453,4.6747192573376575,0.007391380137518895,20000,400000,20,0.12190743326084175,0.027259330773376098
walker2d-medium-replay-v2,1,adm,-1,38,,2.882597431611147,4.77058821050892,0.007542962261977501,20000,400000,20,0.1239417817151684,0.0277142249167557
walker2d-medium-replay-v2,1,adm,-1,39,,2.97407139920427,4.8794859439644265,0.00771514469685216,20000,400000,20,0.1436110508045388,0.03211240719191246
walker2d-medium-replay-v2,1,adm,-1,40,,3.020202172982027,4.911608256879667,0.007765934533114562,20000,400000,20,0.11741892651705897,0.026255670153719646
walker2d-medium-replay-v2,1,adm,-1,41,,3.1113422011578344,4.999930088943549,0.007905583611334942,20000,400000,20,0.12731629052802973,0.028468788026378707
walker2d-medium-replay-v2,1,adm,-1,42,,3.1835082640586245,5.066517070651083,0.008010866873690828,20000,400000,20,0.12896526632579458,0.02883751022408412
walker2d-medium-replay-v2,1,adm,-1,43,,3.2563264573441995,5.120631658512745,0.008096429549832905,20000,400000,20,0.1043794590566122,0.023339956590524093
walker2d-medium-replay-v2,1,adm,-1,44,,3.3378479565939867,5.216712802582793,0.00824834717756097,20000,400000,20,0.13323630108135748,0.029792542628854404
walker2d-medium-replay-v2,1,adm,-1,45,,3.3634997031951404,5.217446736140978,0.00824950762840852,20000,400000,20,0.10928549037143191,0.02443697854249205
walker2d-medium-replay-v2,1,adm,-1,46,,3.4493164323776484,5.299168289970457,0.008378720750423124,20000,400000,20,0.11725233747197938,0.02621841971080917
walker2d-medium-replay-v2,1,adm,-1,47,,3.529364710058127,5.370827077455967,0.008492023241833214,20000,400000,20,0.09479364537773033,0.021196503489961372
walker2d-medium-replay-v2,1,adm,-1,48,,3.5796174696634826,5.394302504664386,0.008529141151345261,20000,400000,20,0.11786041675200731,0.02635439037139433
walker2d-medium-replay-v2,1,adm,-1,49,,3.67705394150338,5.494562127101676,0.00868766553347044,20000,400000,20,0.11075647342435056,0.024765900352499676
walker2d-medium-replay-v2,1,adm,-1,50,,3.7513764840861876,5.549414685750139,0.008774395043878995,20000,400000,20,0.13433030602093152,0.030037169570115214
walker2d-medium-replay-v2,1,adm,-1,51,,3.807098083134511,5.590551973465112,0.008839438806849483,20000,400000,20,0.13949693775907449,0.03119246354823477
walker2d-medium-replay-v2,1,adm,-1,52,,3.8847430604794657,5.681193655504574,0.008982755889946221,20000,400000,20,0.1203314769769711,0.026906936235345826
walker2d-medium-replay-v2,1,adm,-1,53,,3.9320664183832412,5.715035775158341,0.009036264979423149,20000,400000,20,0.12802614176682864,0.028627515588765386
walker2d-medium-replay-v2,1,adm,-1,54,,4.002045654305623,5.763785523848284,0.009113345100033664,20000,400000,20,0.14178909987663293,0.03170500657926583
walker2d-medium-replay-v2,1,adm,-1,55,,4.060764420279024,5.797986809383084,0.009167422080631532,20000,400000,20,0.14944468062759828,0.033416846475905565
walker2d-medium-replay-v2,1,adm,-1,56,,4.16608733691455,5.916906361541183,0.009355450402204923,20000,400000,20,0.10938289388140787,0.02445875862944738
walker2d-medium-replay-v2,1,adm,-1,57,,4.24036335401266,5.953168853564448,0.009412786436418527,20000,400000,20,0.13436371619742887,0.03004464031269405
walker2d-medium-replay-v2,1,adm,-1,58,,4.314184604728562,6.019276716985151,0.009517312146246903,20000,400000,20,0.1586797263338479,0.03548186547335473
walker2d-medium-replay-v2,1,adm,-1,59,,4.397719790078043,6.092952189370045,0.009633803296459454,20000,400000,20,0.15118657442340108,0.03380634576960559
walker2d-medium-replay-v2,1,adm,-1,60,,4.5003468071195325,6.193351889820832,0.009792549161371015,20000,400000,20,0.16196654495599377,0.036216820460237775
walker2d-medium-replay-v2,1,adm,-1,61,,4.540780344761981,6.201447821004322,0.00980534995253092,20000,400000,20,0.11543297286757025,0.02581159741767759
walker2d-medium-replay-v2,1,adm,-1,62,,4.645557859618533,6.318679127021771,0.00999070892257659,20000,400000,20,0.16950868375255895,0.0379032939647236
walker2d-medium-replay-v2,1,adm,-1,63,,4.697930578536292,6.316474185815108,0.009987222604416682,20000,400000,20,0.16988019095455098,0.037986365500502085
walker2d-medium-replay-v2,1,adm,-1,64,,4.78651386480881,6.3803161971498765,0.010088165687528761,20000,400000,20,0.1560391873644893,0.03489142301008243
walker2d-medium-replay-v2,1,adm,-1,65,,4.823611074509451,6.419735271310028,0.010150492716329345,20000,400000,20,0.14666842744438932,0.03279605739186502
walker2d-medium-replay-v2,1,adm,-1,66,,4.937740832874908,6.512867724534242,0.01029774805446315,20000,400000,20,0.13951366415782113,0.031196203684696396
walker2d-medium-replay-v2,1,adm,-1,67,,5.008430289126487,6.57707025442304,0.010399261167459968,20000,400000,20,0.13581652055916174,0.03036949724377834
walker2d-medium-replay-v2,1,adm,-1,68,,5.077900884184621,6.606940427473279,0.010446490057931036,20000,400000,20,0.14272104930010598,0.031913396805513576
walker2d-medium-replay-v2,1,adm,-1,69,,5.154115609145649,6.675823905064984,0.010555404399102514,20000,400000,20,0.16170738050279967,0.03615886952676842
walker2d-medium-replay-v2,1,adm,-1,70,,5.236334721900908,6.737339872272434,0.0106526696835244,20000,400000,20,0.14755388779962048,0.03299405234643282
walker2d-medium-replay-v2,1,adm,-1,71,,5.34585862490301,6.829159984305556,0.01079785002804265,20000,400000,20,0.12057395686990868,0.026961156387724356
walker2d-medium-replay-v2,1,adm,-1,72,,5.413959957764117,6.878741777819459,0.010876245727032698,20000,400000,20,0.16461301804253925,0.036808589832451714
walker2d-medium-replay-v2,1,adm,-1,73,,5.463814490153007,6.88738753587444,0.010889915870808942,20000,400000,20,0.14118944874130002,0.031570920509126896
walker2d-medium-replay-v2,1,adm,-1,74,,5.589483327599176,7.012454857401689,0.011087664669250298,20000,400000,20,0.17040388039776014,0.03810346601991355
walker2d-medium-replay-v2,1,adm,-1,75,,5.665562332185848,7.071496853162064,0.011181018261352694,20000,400000,20,0.19112790688022757,0.042737499218143855
walker2d-medium-replay-v2,1,adm,-1,76,,5.7159739713001585,7.072324470576464,0.011182326839383055,20000,400000,20,0.17128630538437536,0.03830078224542515
walker2d-medium-replay-v2,1,adm,-1,77,,5.777126766910972,7.097436059319791,0.011222031747430234,20000,400000,20,0.17421040693235199,0.038954631228863966
walker2d-medium-replay-v2,1,adm,-1,78,,5.9018989582785215,7.207943079289742,0.011396758687701613,20000,400000,20,0.2029537070769398,0.04538182853096175
walker2d-medium-replay-v2,1,adm,-1,79,,5.960419081903503,7.232107280586779,0.01143496564467033,20000,400000,20,0.18506325957766412,0.0413814028553346
walker2d-medium-replay-v2,1,adm,-1,80,,6.096581320861668,7.353158823109573,0.011626364938994707,20000,400000,20,0.14156563165156735,0.03165503756506004
walker2d-medium-replay-v2,1,adm,-1,81,,6.098366126888083,7.305456039661895,0.011550940215782485,20000,400000,20,0.23703377586780117,0.05300236358038526
walker2d-medium-replay-v2,1,adm,-1,82,,6.204250672468451,7.379155664483573,0.011667469554350676,20000,400000,20,0.15212533028818964,0.034016257962399966
walker2d-medium-replay-v2,1,adm,-1,83,,6.280490799814082,7.4167477139527875,0.011726907803468897,20000,400000,20,0.1880653538405738,0.04205269154000741
