task,model,rollout_length,mean,std,sem,n_seeds,rollout_repeats
hopper-medium-replay-v2,adm,1,0.0030249187809230954,0.00011941134511739453,6.894217224782304e-05,3,20
hopper-medium-replay-v2,adm,2,0.0037998635371097327,0.0003330197635575502,0.00019226905013541712,3,20
hopper-medium-replay-v2,adm,3,0.004882816019570051,0.0004580757523768863,0.00026447015894403566,3,20
hopper-medium-replay-v2,adm,4,0.00624515715119769,0.0009872448205636452,0.0005699860629084844,3,20
hopper-medium-replay-v2,adm,5,0.008270831987598518,0.0006590769130069191,0.00038051823314121233,3,20
hopper-medium-replay-v2,adm,6,0.010293076199015937,0.001223662896713782,0.0007064821028150592,3,20
hopper-medium-replay-v2,adm,7,0.012233888309627123,0.0012486294828168993,0.00072089656802244,3,20
hopper-medium-replay-v2,adm,8,0.01360409052263164,0.0013731669504187009,0.0007927983084665345,3,20
hopper-medium-replay-v2,adm,9,0.014611960128813037,0.0014847541381129464,0.0008572232013199204,3,20
hopper-medium-replay-v2,adm,10,0.015443980308648261,0.0017000527638641155,0.0009815259208535143,3,20
hopper-medium-replay-v2,adm,11,0.017182629876386166,0.0022807462000135636,0.001316789432531047,3,20
hopper-medium-replay-v2,adm,12,0.018022219947019556,0.0023024182846530347,0.001329301816431546,3,20
hopper-medium-replay-v2,adm,13,0.018937119766311006,0.0018434452969306972,0.0010643136384192878,3,20
hopper-medium-replay-v2,adm,14,0.019802438815558057,0.0024601437761830633,0.001420364671424474,3,20
hopper-medium-replay-v2,adm,15,0.020056932263564614,0.0024892130525898293,0.0014371478259830681,3,20
hopper-medium-replay-v2,adm,16,0.021128593574249108,0.0022129930169348033,0.0012776721140420708,3,20
hopper-medium-replay-v2,adm,17,0.02253240175874154,0.003362236649822899,0.0019411882348544763,3,20
hopper-medium-replay-v2,adm,18,0.023070877758375023,0.003456824831936213,0.0019957987472597554,3,20
hopper-medium-replay-v2,adm,19,0.023953783648278947,0.003502421251241756,0.002022123852219894,3,20
hopper-medium-replay-v2,adm,20,0.024716487043569917,0.0036354811597484643,0.002098946026214589,3,20
hopper-medium-replay-v2,adm,21,0.025210758233063953,0.0038726966234820448,0.0022359024380571133,3,20
hopper-medium-replay-v2,adm,22,0.02633938965588849,0.004263963323326377,0.0024618003725371753,3,20
hopper-medium-replay-v2,adm,23,0.027652499081162987,0.004435954666206447,0.002561099620647269,3,20
hopper-medium-replay-v2,adm,24,0.02926955488689494,0.004700909101561436,0.002714071135222457,3,20
hopper-medium-replay-v2,adm,25,0.03038907947755684,0.00495894873890852,0.0028630503893063894,3,20
hopper-medium-replay-v2,adm,26,0.031901499102724634,0.004446181218218335,0.0025670039232042145,3,20
hopper-medium-replay-v2,adm,27,0.033674484779898976,0.004846959493496276,0.0027983933683212872,3,20
hopper-medium-replay-v2,adm,28,0.03613975464252318,0.005036717746907158,0.0029079503470090134,3,20
hopper-medium-replay-v2,adm,29,0.03675188538153636,0.005243357522379671,0.0030272538770033525,3,20
hopper-medium-replay-v2,adm,30,0.03834230791830169,0.005609274605119906,0.0032385162032245096,3,20
hopper-medium-replay-v2,adm,31,0.039911740083614144,0.006097157550620566,0.0035201955531423434,3,20
hopper-medium-replay-v2,adm,32,0.0419415807010525,0.006519035567071702,0.0037637669395055922,3,20
hopper-medium-replay-v2,adm,33,0.042784412818860175,0.006008653734494493,0.003469097851077646,3,20
hopper-medium-replay-v2,adm,34,0.04534683193555581,0.006202675361481493,0.003581116289647199,3,20
hopper-medium-replay-v2,adm,35,0.04683102303128233,0.0065170523530862735,0.0037626219303772443,3,20
hopper-medium-replay-v2,adm,36,0.050134491947699526,0.00645300575809285,0.0037256446115171123,3,20
hopper-medium-replay-v2,adm,37,0.05104859765178427,0.007239746856081487,0.004179869796223394,3,20
hopper-medium-replay-v2,adm,38,0.05373054361315458,0.0069858639797672,0.004033290449240704,3,20
hopper-medium-replay-v2,adm,39,0.05606596734639557,0.00763127225471662,0.004405917090519963,3,20
hopper-medium-replay-v2,adm,40,0.05881472284986348,0.00894547687281554,0.005164673480549623,3,20
hopper-medium-replay-v2,adm,41,0.060645276616922254,0.009280366916986226,0.005358022337700496,3,20
hopper-medium-replay-v2,adm,42,0.06277035053160558,0.009202606386238165,0.005313127274340774,3,20
hopper-medium-replay-v2,adm,43,0.06434704365963807,0.009534256728947902,0.005504605688981072,3,20
hopper-medium-replay-v2,adm,44,0.06747630883663773,0.009951728477598681,0.005745633115443663,3,20
hopper-medium-replay-v2,adm,45,0.07006839325204885,0.01054510989200099,0.0060882220347809575,3,20
hopper-medium-replay-v2,adm,46,0.07182023311559932,0.009713174016229419,0.005607903632955734,3,20
hopper-medium-replay-v2,adm,47,0.07352535228891377,0.010029739210805369,0.005790672633260225,3,20
hopper-medium-replay-v2,adm,48,0.07593498754532539,0.010415010237581665,0.006013108964280483,3,20
hopper-medium-replay-v2,adm,49,0.08001401629019474,0.010817191122334917,0.0062453082063556944,3,20
hopper-medium-replay-v2,adm,50,0.08490141923524579,0.010967295867324625,0.006331971221282143,3,20
hopper-medium-replay-v2,adm,51,0.08775050496667496,0.011571170664087438,0.006680618497749984,3,20
hopper-medium-replay-v2,adm,52,0.08980588093716495,0.012567843546326837,0.007256047854604901,3,20
hopper-medium-replay-v2,adm,53,0.09343056896292273,0.012293318761949503,0.0070975508964454224,3,20
hopper-medium-replay-v2,adm,54,0.09742322635218208,0.013430645596438426,0.007754186850494188,3,20
hopper-medium-replay-v2,adm,55,0.10246564235931788,0.01368992119011416,0.007903879684297172,3,20
hopper-medium-replay-v2,adm,56,0.10685694243940304,0.013360861384793104,0.007713896917115575,3,20
hopper-medium-replay-v2,adm,57,0.11015360473950826,0.013900875979151664,0.008025674488534817,3,20
hopper-medium-replay-v2,adm,58,0.11380440490836141,0.015796825306844644,0.009120301343248248,3,20
hopper-medium-replay-v2,adm,59,0.1202221363081888,0.016978493099373666,0.00980253756135759,3,20
hopper-medium-replay-v2,adm,60,0.12456385703363675,0.016967190440802523,0.009796011968388982,3,20
hopper-medium-replay-v2,adm,61,0.12779982631501297,0.017695049746538464,0.010216241734487801,3,20
hopper-medium-replay-v2,adm,62,0.13294526767981948,0.018097618835547915,0.010448665106394832,3,20
hopper-medium-replay-v2,adm,63,0.13887431096671368,0.018566709354207855,0.010719494643617449,3,20
hopper-medium-replay-v2,adm,64,0.14323861082690004,0.01943771026686396,0.011222367255003859,3,20
hopper-medium-replay-v2,adm,65,0.14544815193613145,0.02060674699214136,0.011897310923035326,3,20
hopper-medium-replay-v2,adm,66,0.1497607543720477,0.019433099787105126,0.011219705393274005,3,20
hopper-medium-replay-v2,adm,67,0.1549118077070567,0.020415491660555812,0.011786889605860459,3,20
hopper-medium-replay-v2,adm,68,0.15851490481959804,0.020624290413218976,0.011907439621916994,3,20
hopper-medium-replay-v2,adm,69,0.16150928608002688,0.021635424323675278,0.012491218057305698,3,20
hopper-medium-replay-v2,adm,70,0.16475436330552953,0.0211611808923095,0.012217413484545254,3,20
hopper-medium-replay-v2,adm,71,0.16895482753291516,0.02265504075281875,0.013079893877141847,3,20
hopper-medium-replay-v2,adm,72,0.17235697432175012,0.02225154769015426,0.012846937048796359,3,20
hopper-medium-replay-v2,adm,73,0.17714924615878536,0.023338579715472645,0.013474535281231671,3,20
hopper-medium-replay-v2,adm,74,0.18369984176788476,0.022333316664626734,0.012894146388219401,3,20
hopper-medium-replay-v2,adm,75,0.18860754137060684,0.02243332821628419,0.012951888084490906,3,20
hopper-medium-replay-v2,adm,76,0.19253018367212213,0.024205564724238533,0.013975089309426028,3,20
hopper-medium-replay-v2,adm,77,0.1951021708742783,0.023882658557392626,0.013788659347074553,3,20
hopper-medium-replay-v2,adm,78,0.1989419658331711,0.023435220508879927,0.013530330869320066,3,20
hopper-medium-replay-v2,adm,79,0.20545492017028064,0.023597840493171755,0.013624219561026565,3,20
hopper-medium-replay-v2,adm,80,0.21192070926772155,0.024903815972290112,0.0143782248554506,3,20
hopper-medium-replay-v2,adm,81,0.21599676766252673,0.025803490271637634,0.014897652054361879,3,20
hopper-medium-replay-v2,adm,82,0.21763645154095798,0.02490042762201395,0.014376268590506548,3,20
